kata,skor_negatif
tuah,-3
membandingkan,-3
kekecewaan,-3
berwarna,-3
merawat,-3
anak,-3
membatasi,-3
kiamat,-3
sepenuhnya,-3
usul,-3
obral,-3
batas,-3
lengkap,-3
tempat,-3
ciuman,-3
banyak,-3
hisap,-3
sudi,-3
jelas,-3
walau,-3
menjerit,-3
hangat,-3
waras,-3
cok,-3
kapok,-3
mencocok,-3
pojok,-3
hambar,-3
down,-3
nganggur,-3
delay,-3
sendirian,-3
persoalan,-3
ngeles,-3
godaan,-3
gosah,-3
kgk,-3
terhalang,-3
bergejolak,-3
bedah,-3
pajak,-3
pasrah,-3
diem,-3
pelosok,-3
pending,-3
cry,-3
biarkan,-3
debu,-3
alone,-3
segitunya,-3
manja,-3
kerjain,-3
rasain,-3
pindah,-3
tekanan,-3
sudahlah,-3
dilarang,-3
tersangkut,-3
biarin,-3
jangankan,-3
lieur,-3
kena,-3
mengharap,-3
dahh,-3
awas,-3
please,-3
death,-3
yaudahlah,-3
dahlah,-3
uler,-3
keladi,-3
idk,-3
denger,-3
muntah,-3
entah,-3
waspada,-3
jadul,-3
buang,-3
cari,-3
rang,-3
gugur,-3
halang,-3
ingat,-3
dah,-3
pisah,-3
kencang,-3
membara,-3
ketar,-3
cocok,-3
tinggal,-3
sidang,-3
pls,-3
simpan,-3
jilat,-3
sibuk,-3
jangan,-3
terlalu,-3
habis,-3
ampun,-3
aduh,-3
kayaknya,-3
nol,-3
ngaku,-3
bareng,-3
tidur,-3
bales,-3
sendiri,-3
asri,-3
turun,-3
ndak,-3
maafkan,-3
maap,-3
closed,-3
ikutan,-3
sayang,-3
sayu,-3
mula,-3
palit,-3
keluar,-3
mesti,-3
otak,-3
konyol,-3
ragu,-3
sangka,-3
curhat,-3
mendingan,-3
bayar,-3
berbayar,-3
ketagihan,-3
timpa,-3
kesian,-3
banding,-3
kecil,-3
gantung,-3
susah,-3
balik,-3
ikut,-3
celah,-3
aduk,-3
memihak,-3
mikir,-3
masuk,-3
kayak,-3
pihak,-3
apa,-3
apanya,-3
apas,-3
pacaran,-3
gampang,-3
heran,-3
jatuh,-3
pening,-3
maafin,-3
gaje,-3
ego,-3
kambing,-3
maruk,-3
kagak,-3
terlanjur,-3
nyangka,-3
terungkap,-3
terserah,-3
pensiun,-3
begadang,-3
pesan,-3
delete,-3
simpanan,-3
gapernah,-3
impas,-3
bah,-3
pamer,-3
menipis,-3
stop,-3
kekosongan,-3
gaenak,-3
susahnya,-3
vulgar,-3
menurun,-3
gituan,-3
menghilang,-3
njir,-3
menangkap,-3
merah,-3
sumpah,-3
menghambat,-3
pingsan,-3
diapain,-3
kasihan,-3
dibuang,-3
mamam,-3
hapus,-3
mantan,-3
iseng,-3
laporin,-3
lagian,-3
nihh,-3
anjay,-3
lelah,-3
berenti,-3
kebalik,-3
nahan,-3
bergetar,-3
keburu,-3
waduh,-3
kiri,-3
bakar,-3
kurus,-3
jir,-3
ora,-3
gatel,-3
diam,-3
penutup,-3
pantat,-3
pejabat,-3
ngomongin,-3
nyuruh,-3
pantes,-3
jin,-3
mikirin,-3
piye,-3
demon,-3
got,-3
dibales,-3
memasuki,-3
monyet,-3
astaghfirullah,-3
ketiduran,-3
ketinggalan,-3
apasi,-3
umpan,-3
yakali,-3
penasaran,-3
gegara,-3
lemes,-3
menutup,-3
kurung,-3
mengecilkan,-3
obat,-3
ngilang,-3
rela,-3
perang,-3
ngertiin,-3
kekurangan,-3
sikit,-3
sekadar,-3
gausa,-3
tauu,-3
idih,-3
kaget,-3
gakuat,-3
membiarkan,-3
menjilat,-3
beginian,-3
spam,-3
mengalami,-3
leave,-3
kesibukan,-3
udeh,-3
keluarkan,-3
bawain,-3
sepi,-3
tetiba,-3
mentang,-3
drop,-3
pokoknya,-3
dikatain,-3
digantung,-3
dibalik,-3
mencari,-3
yaudh,-3
rawat,-3
goodbye,-3
akumah,-3
pasif,-3
berkurang,-3
mahh,-3
dikira,-3
alergi,-3
yahhh,-3
claim,-3
candu,-3
mumpung,-3
pengganti,-3
segitu,-3
anjer,-3
edan,-3
disayang,-3
bukannya,-3
sayangnya,-3
seksi,-3
addict,-3
bolos,-3
nyerah,-3
pengeluaran,-3
blokir,-3
hama,-3
terhenti,-3
bolong,-3
merinding,-3
kelu,-3
tinggalkan,-3
berburu,-3
membalas,-3
kepo,-3
jealous,-3
tauk,-3
alpa,-3
protes,-3
penyebab,-3
bye,-3
risiko,-3
love,-3
gajadi,-3
serah,-3
demo,-3
lost,-3
bimbingan,-3
mewujudkan,-3
frustasi,-3
inventori,-3
kompas,-3
lupa,-3
seluruhnya,-3
tuntut,-3
bosenin,-3
berlipat,-3
perlengkapan,-3
salin,-3
kecintaan,-3
muncul,-3
aktif,-3
hadir,-3
semuanya,-3
pengumuman,-3
puisi,-3
gambar,-3
hoki,-3
doi,-3
minum,-3
kuat,-3
minus,-3
setengah,-3
semau,-3
pertunjuk,-3
pemikiran,-3
lekas,-3
sebagai,-3
buram,-3
badan,-3
stok,-3
buah,-3
tampak,-3
pada,-3
baku,-3
kabar,-3
saya,-3
nikah,-3
detektif,-3
demen,-3
gua,-3
mendalam,-3
dengkul,-3
natural,-3
mempermudah,-3
bawa,-3
beruntun,-3
data,-3
arahan,-3
bernuansa,-3
termasuk,-3
wah,-3
vakum,-3
ramah,-3
penanda,-3
sepak,-3
agama,-3
bukti,-3
berusaha,-3
dampak,-3
indo,-3
pencerahan,-3
terpotong,-3
bambu,-3
turunan,-3
tuli,-3
gembira,-3
setip,-3
inspirasi,-3
setuju,-3
petir,-3
serupa,-3
minta,-3
hadiah,-3
pokok,-3
buntu,-3
kerepotan,-3
anjir,-3
jaga,-3
kece,-3
bulat,-3
hangus,-3
daftar,-3
gesek,-3
buru,-3
buta,-3
pacar,-3
rindu,-3
melayang,-3
bisu,-3
kurang,-3
lagi,-3
nggak,-3
berterima,-3
bait,-3
anu,-3
bayi,-3
sombong,-3
menikmati,-3
tekan,-3
kangen,-3
beta,-3
kasian,-3
ogah,-3
panas,-3
maaf,-3
aspek,-3
sepuh,-3
ruang,-3
akibat,-3
mending,-3
gaada,-3
geleng,-3
biar,-3
dua,-3
ganti,-3
kelas,-3
ungkap,-3
cekak,-3
ada,-3
kasi,-3
jomblo,-3
patung,-3
bukan,-3
alami,-3
harap,-3
saja,-3
jarak,-3
kotak,-3
balas,-3
banting,-3
berangan,-3
beranda,-3
keluarga,-3
bloon,-3
bungsu,-3
memenuhi,-3
lubuk,-3
sambung,-3
turut,-3
atribut,-3
absen,-3
dia,-3
pergi,-3
pemain,-3
berasal,-3
ketat,-3
cuma,-3
imam,-3
berbicara,-3
hemat,-3
generasi,-3
titik,-3
perbincangan,-3
menumpuk,-3
dobel,-3
tertinggal,-3
pulsa,-3
imbang,-3
melarang,-3
kode,-3
saran,-3
berselang,-3
ta,-3
menjaga,-3
matanya,-2
lumayan,-2
persembahan,-2
hatiku,-2
nongol,-2
sepertinya,-2
varian,-2
tercengang,-2
rapi,-2
semi,-2
mewajibkan,-2
pulak,-2
goreng,-2
keok,-2
abis,-2
jaman,-2
ngakak,-2
dominan,-2
pesat,-2
suruh,-2
ngga,-2
berpengaruh,-2
tukang,-2
nanti,-2
wajib,-2
napa,-2
cenderung,-2
pengen,-2
nyari,-2
fiksi,-2
hujan,-2
gelo,-2
tolong,-2
tt,-2
berumur,-2
comeback,-2
tren,-2
menyala,-2
ngantuk,-2
ngerasa,-2
istirahat,-2
milih,-2
merasa,-2
macem,-2
fokus,-2
tobat,-2
murah,-2
masak,-2
pikir,-2
ngerjain,-2
kira,-2
regenerasi,-2
muda,-2
mohon,-2
gemes,-2
memberi,-2
seruh,-2
rame,-2
apalah,-2
kuota,-2
rekan,-2
bot,-2
nemu,-2
disuruh,-2
berasa,-2
terbuang,-2
kayanya,-2
tanya,-2
menikah,-2
huhuhu,-2
rasa,-2
hiatus,-2
duluan,-2
ucap,-2
ngasih,-2
pilih,-2
polos,-2
mustahil,-2
yodah,-2
next,-2
emmm,-2
absurd,-2
betina,-2
gone,-2
gede,-2
nyata,-2
api,-2
gubris,-2
poko,-2
dapat,-2
pencet,-2
siapa,-2
hati,-2
kenceng,-2
sir,-2
kocak,-2
alangkah,-2
aurat,-2
pdhal,-2
kenyataannya,-2
meski,-2
matiin,-2
siapanya,-2
kodok,-2
meskipun,-2
manis,-2
irit,-2
kabeh,-2
gbs,-2
rombak,-2
lucunya,-2
fresh,-2
dingin,-2
itunya,-2
lancar,-2
tunggu,-2
elu,-2
nyanyi,-2
dunia,-2
mirip,-2
enteng,-2
memang,-2
sengaja,-2
lepas,-2
sudah,-2
beda,-2
indah,-2
tahan,-2
tutup,-2
tentang,-2
beri,-2
timbal,-2
besar,-2
sentuh,-2
lari,-2
ken,-2
tajam,-2
mungut,-2
umur,-2
asa,-2
mata,-2
nyala,-2
album,-2
batu,-2
lucu,-2
main,-2
maklum,-2
itu,-2
junjung,-2
tanda,-2
tata,-2
pengaruh,-2
jadi,-2
layan,-2
abu,-2
pegang,-2
asuh,-2
kemas,-2
tinggi,-2
tebak,-2
kaya,-2
tanggung,-2
keinget,-2
tiri,-2
latihan,-2
pantesan,-2
rahasia,-2
mengasihi,-2
gairah,-2
menanggung,-2
gajih,-2
ngerasain,-2
pendek,-2
ingetin,-2
sebab,-2
maghrib,-2
membesar,-2
dalem,-2
tersentuh,-2
awal,-2
dimakan,-2
ngarep,-2
ketinggian,-2
kenal,-2
merem,-2
kejadian,-2
cuti,-2
why,-2
nungguin,-2
peristiwa,-2
lock,-2
belain,-2
sebentar,-2
ngikutin,-2
super,-2
beristirahat,-2
final,-2
interaksi,-2
life,-2
berkerak,-2
mengerti,-2
otaknya,-2
abaikan,-2
memaklumi,-2
geli,-2
menunggunya,-2
pokonya,-2
kepencet,-2
boro,-2
perbedaan,-2
gabole,-2
anti,-2
sihh,-2
bangett,-2
tandanya,-2
kentut,-2
mainin,-2
puasa,-2
gaakan,-2
close,-2
image,-2
kegedean,-2
remaja,-2
kabur,-2
tiduran,-2
standar,-2
memangnya,-2
tumben,-2
bisain,-2
krg,-2
ringkas,-2
peduli,-1
sin,-1
gagah,-1
seperti,-1
emg,-1
malam,-1
bunyi,-1
perfek,-1
mulut,-1
beliin,-1
cinta,-1
terpukau,-1
suri,-1
air,-1
senengnya,-1
berpengalaman,-1
memukau,-1
pgen,-1
menakjubkan,-1
takjub,-1
sadar,-1
kalau,-1
maunya,-1
seandainya,-1
bener,-1
gatau,-1
coba,-1
atuh,-1
semangat,-1
termakan,-1
belom,-1
malem,-1
sekali,-1
doang,-1
bahagia,-1
gemar,-1
mulu,-1
xx,-1
belikan,-1
bakat,-1
katanya,-1
dongeng,-1
untung,-1
excited,-1
asih,-1
soalnya,-1
keberuntungan,-1
dahulu,-1
maksud,-1
baca,-1
jujur,-1
makan,-1
mari,-1
sungguh,-1
belaka,-1
tembok,-1
pesona,-1
kata,-1
pinter,-1
liat,-1
semangatin,-1
kasih,-1
suara,-1
adek,-1
sehat,-1
anda,-1
akunya,-1
bom,-1
aku,-1
neng,-1
mudah,-1
better,-1
darah,-1
elegan,-1
menyukai,-1
cucok,-1
sebenernya,-1
ex,-1
bersatu,-1
ati,-1
menenangkan,-1
berbakat,-1
jatah,-1
senyum,-1
baik,-1
bersemangat,-1
hendak,-1
panggil,-1
alam,-1
kota,-1
bermutu,-1
kemungkinan,-1
isu,-1
bulan,-1
diri,-1
profit,-1
man,-1
ceria,-1
meringankan,-1
memudahkan,-1
ngerti,-1
cakep,-1
suka,-1
soal,-1
kiranya,-1
nanya,-1
imut,-1
keliatan,-1
satu,-1
mutu,-1
suci,-1
mungkin,-1
master,-1
tugas,-1
mau,-1
tenang,-1
kagum,-1
maksudnya,-1
seneng,-1
dibeliin,-1
cute,-1
begini,-1
ringan,-1
